key;shape;fingers;image;chord;chord_long;root;suffix;suffix_long;bass
1;["0","2","2","2","0","x"];[0,3,2,1,0,0];jguitar/A.png;A;A;A;Major;Major;A
2;["1","3","3","3","1","x"];["1","4","3","2","1","0"];jguitar/Asharp.png;A#;A#;A#;Major;Major;A#
3;["1","3","3","0","0","x"];["1","4","3","0","0","0"];jguitar/Asharp-A.png;A#/A;A#/A;A#;Major;Major;A
4;["x","3","3","3","2","x"];["0","4","3","2","1","0"];jguitar/Asharp-B.png;A#/B;A#/B;A#;Major;Major;B
5;["1","3","3","0","3","x"];["1","4","3","0","2","0"];jguitar/Asharp-C.png;A#/C;A#/C;A#;Major;Major;C
6;["6","3","3","3","4","x"];["4","1","1","1","2","0"];jguitar/Asharp-Csharp.png;A#/C#;A#/C#;A#;Major;Major;C#
7;["1","3","3","0","x","x"];["1","4","3","0","0","0"];jguitar/Asharp-D.png;A#/D;A#/D;A#;Major;Major;D
8;["1","3","3","1","x","x"];["2","4","3","1","0","0"];jguitar/Asharp-Dsharp.png;A#/D#;A#/D#;A#;Major;Major;D#
9;["1","3","3","3","1","0"];["1","4","3","2","1","0"];jguitar/Asharp-E.png;A#/E;A#/E;A#;Major;Major;E
10;["1","3","3","3","1","1"];["1","4","3","2","1","1"];jguitar/Asharp-F.png;A#/F;A#/F;A#;Major;Major;F
11;["x","3","3","3","1","2"];["0","3","3","3","1","2"];jguitar/Asharp-Fsharp.png;A#/F#;A#/F#;A#;Major;Major;F#
12;["1","3","x","3","1","3"];["1","4","0","3","1","2"];jguitar/Asharp-G.png;A#/G;A#/G;A#;Major;Major;G
13;["x","3","3","3","1","4"];["0","3","3","3","1","4"];jguitar/Asharp-Gsharp.png;A#/G#;A#/G#;A#;Major;Major;G#
14;["4","4","3","3","5","6"];["2","2","1","1","3","4"];jguitar/Asharp11.png;A#11;A#11;A#;11;11th;A#
15;["4","4","3","3","5","5"];["2","2","1","1","4","3"];jguitar/Asharp11-A.png;A#11/A;A#11/A;A#;11;11th;A
16;["6","6","8","6","5","7"];["2","2","4","2","1","3"];jguitar/Asharp11-B.png;A#11/B;A#11/B;A#;11;11th;B
17;["10","9","8","8","8","8"];["3","2","1","1","1","1"];jguitar/Asharp11-C.png;A#11/C;A#11/C;A#;11;11th;C
18;["10","9","8","8","8","9"];["4","3","1","1","1","2"];jguitar/Asharp11-Csharp.png;A#11/C#;A#11/C#;A#;11;11th;C#
19;["4","4","3","3","5","x"];["2","2","1","1","3","0"];jguitar/Asharp11-D.png;A#11/D;A#11/D;A#;11;11th;D
20;["6","6","7","6","6","x"];["1","1","2","1","1","0"];jguitar/Asharp11-Dsharp.png;A#11/D#;A#11/D#;A#;11;11th;D#
21;["11","11","13","12","11","12"];["1","1","4","3","1","2"];jguitar/Asharp11-E.png;A#11/E;A#11/E;A#;11;11th;E
22;["11","11","13","12","11","13"];["1","1","4","2","1","3"];jguitar/Asharp11-F.png;A#11/F;A#11/F;A#;11;11th;F
23;["4","4","3","3","5","2"];["3","3","2","2","4","1"];jguitar/Asharp11-Fsharp.png;A#11/F#;A#11/F#;A#;11;11th;F#
24;["4","4","3","3","5","3"];["2","2","1","1","3","1"];jguitar/Asharp11-G.png;A#11/G;A#11/G;A#;11;11th;G
25;["6","4","5","x","5","4"];["4","1","3","0","2","1"];jguitar/Asharp11-Gsharp.png;A#11/G#;A#11/G#;A#;11;11th;G#
26;["3","3","1","0","1","x"];["4","3","2","0","1","0"];jguitar/Asharp13.png;A#13;A#13;A#;13;13th;A#
27;["3","3","3","6","5","5"];["1","1","1","4","3","2"];jguitar/Asharp13-A.png;A#13/A;A#13/A;A#;13;13th;A
28;["6","8","7","6","x","7"];["1","4","3","1","0","2"];jguitar/Asharp13-B.png;A#13/B;A#13/B;A#;13;13th;B
29;["3","3","3","6","3","x"];["1","1","1","4","1","0"];jguitar/Asharp13-C.png;A#13/C;A#13/C;A#;13;13th;C
30;["3","3","3","6","4","x"];["1","1","1","4","2","0"];jguitar/Asharp13-Csharp.png;A#13/C#;A#13/C#;A#;13;13th;C#
31;["3","3","3","6","5","x"];["1","1","1","4","3","0"];jguitar/Asharp13-D.png;A#13/D;A#13/D;A#;13;13th;D
32;["6","8","7","6","6","x"];["1","3","2","1","1","0"];jguitar/Asharp13-Dsharp.png;A#13/D#;A#13/D#;A#;13;13th;D#
33;["3","3","1","0","1","0"];["4","3","2","0","1","0"];jguitar/Asharp13-E.png;A#13/E;A#13/E;A#;13;13th;E
34;["3","3","1","0","1","1"];["4","4","3","0","2","1"];jguitar/Asharp13-F.png;A#13/F;A#13/F;A#;13;13th;F
35;["3","3","1","0","1","2"];["4","4","2","0","1","3"];jguitar/Asharp13-Fsharp.png;A#13/F#;A#13/F#;A#;13;13th;F#
36;["1","3","1","3","1","3"];["1","4","1","3","1","2"];jguitar/Asharp13-G.png;A#13/G;A#13/G;A#;13;13th;G
37;["3","3","3","3","5","4"];["1","1","1","1","3","2"];jguitar/Asharp13-Gsharp.png;A#13/G#;A#13/G#;A#;13;13th;G#
38;["1","x","3","3","1","x"];["2","0","4","3","1","0"];jguitar/Asharp5.png;A#5;A#5;A#;5;5th;A#
39;["1","x","3","3","0","x"];["1","0","4","3","0","0"];jguitar/Asharp5-A.png;A#5/A;A#5/A;A#;5;5th;A
40;["1","x","3","3","2","x"];["1","0","4","3","2","0"];jguitar/Asharp5-B.png;A#5/B;A#5/B;A#;5;5th;B
41;["6","6","3","3","3","x"];["4","4","1","1","1","0"];jguitar/Asharp5-C.png;A#5/C;A#5/C;A#;5;5th;C
42;["6","6","6","x","x","x"];["1","1","1","0","0","0"];jguitar/Asharp5-Csharp.png;A#5/C#;A#5/C#;A#;5;5th;C#
43;["1","x","3","0","x","x"];["1","0","3","0","0","0"];jguitar/Asharp5-D.png;A#5/D;A#5/D;A#;5;5th;D
44;["1","x","3","1","x","x"];["2","0","4","1","0","0"];jguitar/Asharp5-Dsharp.png;A#5/D#;A#5/D#;A#;5;5th;D#
45;["1","x","3","3","1","0"];["2","0","4","3","1","0"];jguitar/Asharp5-E.png;A#5/E;A#5/E;A#;5;5th;E
46;["1","x","3","3","1","1"];["1","0","4","3","1","1"];jguitar/Asharp5-F.png;A#5/F;A#5/F;A#;5;5th;F
47;["1","x","3","3","1","2"];["1","0","4","3","1","2"];jguitar/Asharp5-Fsharp.png;A#5/F#;A#5/F#;A#;5;5th;F#
48;["1","x","3","3","1","3"];["1","0","4","3","1","2"];jguitar/Asharp5-G.png;A#5/G;A#5/G;A#;5;5th;G
49;["1","x","3","3","1","4"];["1","0","3","2","1","4"];jguitar/Asharp5-Gsharp.png;A#5/G#;A#5/G#;A#;5;5th;G#
50;["3","3","3","3","1","x"];["3","3","3","3","1","0"];jguitar/Asharp6.png;A#6;A#6;A#;6;6th;A#
51;["3","3","3","0","0","x"];["1","1","1","0","0","0"];jguitar/Asharp6-A.png;A#6/A;A#6/A;A#;6;6th;A
52;["3","3","3","3","2","x"];["2","2","2","2","1","0"];jguitar/Asharp6-B.png;A#6/B;A#6/B;A#;6;6th;B
53;["3","3","3","3","3","x"];["1","1","1","1","1","0"];jguitar/Asharp6-C.png;A#6/C;A#6/C;A#;6;6th;C
54;["3","3","3","3","4","x"];["1","1","1","1","2","0"];jguitar/Asharp6-Csharp.png;A#6/C#;A#6/C#;A#;6;6th;C#
55;["3","3","3","0","x","x"];["1","1","1","0","0","0"];jguitar/Asharp6-D.png;A#6/D;A#6/D;A#;6;6th;D
56;["3","3","3","1","x","x"];["4","3","2","1","0","0"];jguitar/Asharp6-Dsharp.png;A#6/D#;A#6/D#;A#;6;6th;D#
57;["3","3","3","3","1","0"];["3","3","3","3","1","0"];jguitar/Asharp6-E.png;A#6/E;A#6/E;A#;6;6th;E
58;["3","3","3","3","1","1"];["3","3","3","3","1","1"];jguitar/Asharp6-F.png;A#6/F;A#6/F;A#;6;6th;F
59;["3","3","3","3","1","2"];["3","3","3","3","1","2"];jguitar/Asharp6-Fsharp.png;A#6/F#;A#6/F#;A#;6;6th;F#
60;["3","3","3","3","5","3"];["1","1","1","1","3","1"];jguitar/Asharp6-G.png;A#6/G;A#6/G;A#;6;6th;G
61;["3","3","3","3","5","4"];["1","1","1","1","3","2"];jguitar/Asharp6-Gsharp.png;A#6/G#;A#6/G#;A#;6;6th;G#
62;["1","1","0","0","1","x"];["3","2","0","0","1","0"];jguitar/Asharp6add9.png;A#6add9;A#6add9;A#;6add9;6th Add 9th;A#
63;["6","6","5","5","5","5"];["2","2","1","1","1","1"];jguitar/Asharp6add9-A.png;A#6add9/A;A#6add9/A;A#;6add9;6th Add 9th;A
64;["3","1","3","0","2","x"];["4","1","3","0","2","0"];jguitar/Asharp6add9-B.png;A#6add9/B;A#6add9/B;A#;6add9;6th Add 9th;B
65;["3","3","3","3","3","x"];["1","1","1","1","1","0"];jguitar/Asharp6add9-C.png;A#6add9/C;A#6add9/C;A#;6add9;6th Add 9th;C
66;["8","8","x","8","5","9"];["2","2","0","2","1","3"];jguitar/Asharp6add9-Csharp.png;A#6add9/C#;A#6add9/C#;A#;6add9;6th Add 9th;C#
67;["8","8","10","8","8","10"];["1","1","4","1","1","3"];jguitar/Asharp6add9-D.png;A#6add9/D;A#6add9/D;A#;6add9;6th Add 9th;D
68;["x","13","12","12","13","11"];["0","4","2","2","3","1"];jguitar/Asharp6add9-Dsharp.png;A#6add9/D#;A#6add9/D#;A#;6add9;6th Add 9th;D#
69;["1","1","0","0","1","0"];["3","2","0","0","1","0"];jguitar/Asharp6add9-E.png;A#6add9/E;A#6add9/E;A#;6add9;6th Add 9th;E
70;["1","1","0","0","1","1"];["4","3","0","0","2","1"];jguitar/Asharp6add9-F.png;A#6add9/F;A#6add9/F;A#;6add9;6th Add 9th;F
71;["1","1","0","0","1","2"];["3","2","0","0","1","4"];jguitar/Asharp6add9-Fsharp.png;A#6add9/F#;A#6add9/F#;A#;6add9;6th Add 9th;F#
72;["1","1","0","0","1","3"];["3","2","0","0","1","4"];jguitar/Asharp6add9-G.png;A#6add9/G;A#6add9/G;A#;6add9;6th Add 9th;G
73;["6","6","5","5","5","4"];["3","3","2","2","2","1"];jguitar/Asharp6add9-Gsharp.png;A#6add9/G#;A#6add9/G#;A#;6add9;6th Add 9th;G#
74;["3","3","3","2","1","x"];["3","3","3","2","1","0"];jguitar/Asharp6b5.png;A#6b5;A#6b5;A#;6b5;6th Flat 5th;A#
75;["3","3","3","2","0","x"];["4","3","2","1","0","0"];jguitar/Asharp6b5-A.png;A#6b5/A;A#6b5/A;A#;6b5;6th Flat 5th;A
76;["3","3","3","2","2","x"];["2","2","2","1","1","0"];jguitar/Asharp6b5-B.png;A#6b5/B;A#6b5/B;A#;6b5;6th Flat 5th;B
77;["x","8","7","8","7","8"];["0","4","1","3","1","2"];jguitar/Asharp6b5-C.png;A#6b5/C;A#6b5/C;A#;6b5;6th Flat 5th;C
78;["3","3","3","2","4","x"];["2","2","2","1","3","0"];jguitar/Asharp6b5-Csharp.png;A#6b5/C#;A#6b5/C#;A#;6b5;6th Flat 5th;C#
79;["3","3","3","2","5","x"];["2","2","2","1","4","0"];jguitar/Asharp6b5-D.png;A#6b5/D;A#6b5/D;A#;6b5;6th Flat 5th;D
80;["6","5","7","5","6","x"];["3","1","4","1","2","0"];jguitar/Asharp6b5-Dsharp.png;A#6b5/D#;A#6b5/D#;A#;6b5;6th Flat 5th;D#
81;["3","3","3","0","1","0"];["4","3","2","0","1","0"];jguitar/Asharp6b5-E.png;A#6b5/E;A#6b5/E;A#;6b5;6th Flat 5th;E
82;["3","3","3","2","1","1"];["3","3","3","2","1","1"];jguitar/Asharp6b5-F.png;A#6b5/F;A#6b5/F;A#;6b5;6th Flat 5th;F
83;["0","3","0","0","1","2"];["0","3","0","0","1","2"];jguitar/Asharp6b5-Fsharp.png;A#6b5/F#;A#6b5/F#;A#;6b5;6th Flat 5th;F#
84;["0","3","0","0","1","3"];["0","4","0","0","1","3"];jguitar/Asharp6b5-G.png;A#6b5/G;A#6b5/G;A#;6b5;6th Flat 5th;G
85;["3","3","3","2","1","4"];["3","3","3","2","1","4"];jguitar/Asharp6b5-Gsharp.png;A#6b5/G#;A#6b5/G#;A#;6b5;6th Flat 5th;G#
86;["1","3","1","3","1","x"];["1","4","1","3","1","0"];jguitar/Asharp7.png;A#7;A#7;A#;7;7th;A#
87;["1","2","1","0","1","x"];["3","4","2","0","1","0"];jguitar/Asharp7sharp9.png;A#7#9;A#7#9;A#;7#9;7th Sharp 9th;A#
88;["6","6","6","6","5","5"];["2","2","2","2","1","1"];jguitar/Asharp7sharp9-A.png;A#7#9/A;A#7#9/A;A#;7#9;7th Sharp 9th;A
89;["6","6","6","6","5","7"];["2","2","2","2","1","3"];jguitar/Asharp7sharp9-B.png;A#7#9/B;A#7#9/B;A#;7#9;7th Sharp 9th;B
90;["6","6","6","6","5","8"];["2","2","2","2","1","4"];jguitar/Asharp7sharp9-C.png;A#7#9/C;A#7#9/C;A#;7#9;7th Sharp 9th;C
91;["4","3","3","3","4","x"];["3","1","1","1","2","0"];jguitar/Asharp7sharp9-Csharp.png;A#7#9/C#;A#7#9/C#;A#;7#9;7th Sharp 9th;C#
92;["9","9","10","8","8","10"];["2","2","4","1","1","3"];jguitar/Asharp7sharp9-D.png;A#7#9/D;A#7#9/D;A#;7#9;7th Sharp 9th;D
93;["9","9","7","8","6","x"];["4","4","2","3","1","0"];jguitar/Asharp7sharp9-Dsharp.png;A#7#9/D#;A#7#9/D#;A#;7#9;7th Sharp 9th;D#
94;["1","2","1","0","1","0"];["3","4","2","0","1","0"];jguitar/Asharp7sharp9-E.png;A#7#9/E;A#7#9/E;A#;7#9;7th Sharp 9th;E
95;["x","2","1","0","1","1"];["0","4","3","0","2","1"];jguitar/Asharp7sharp9-F.png;A#7#9/F;A#7#9/F;A#;7#9;7th Sharp 9th;F
96;["x","2","1","0","1","2"];["0","4","2","0","1","3"];jguitar/Asharp7sharp9-Fsharp.png;A#7#9/F#;A#7#9/F#;A#;7#9;7th Sharp 9th;F#
97;["6","6","6","6","5","3"];["4","4","4","4","3","1"];jguitar/Asharp7sharp9-G.png;A#7#9/G;A#7#9/G;A#;7#9;7th Sharp 9th;G
98;["6","6","6","6","5","4"];["3","3","3","3","2","1"];jguitar/Asharp7sharp9-Gsharp.png;A#7#9/G#;A#7#9/G#;A#;7#9;7th Sharp 9th;G#
99;["0","2","1","0","1","x"];["0","3","2","0","1","0"];jguitar/Asharp7sharp9b5.png;A#7#9b5;A#7#9b5;A#;7#9b5;7th Sharp 9th Flat 5th;A#
100;["6","5","6","6","5","5"];["4","1","3","2","1","1"];jguitar/Asharp7sharp9b5-A.png;A#7#9b5/A;A#7#9b5/A;A#;7#9b5;7th Sharp 9th Flat 5th;A
101;["9","9","7","8","7","7"];["3","3","1","2","1","1"];jguitar/Asharp7sharp9b5-B.png;A#7#9b5/B;A#7#9b5/B;A#;7#9b5;7th Sharp 9th Flat 5th;B
102;["9","9","7","8","7","8"];["4","4","1","3","1","2"];jguitar/Asharp7sharp9b5-C.png;A#7#9b5/C;A#7#9b5/C;A#;7#9b5;7th Sharp 9th Flat 5th;C
103;["4","3","3","2","4","x"];["4","2","2","1","3","0"];jguitar/Asharp7sharp9b5-Csharp.png;A#7#9b5/C#;A#7#9b5/C#;A#;7#9b5;7th Sharp 9th Flat 5th;C#
104;["9","9","9","8","7","10"];["3","3","3","2","1","4"];jguitar/Asharp7sharp9b5-D.png;A#7#9b5/D;A#7#9b5/D;A#;7#9b5;7th Sharp 9th Flat 5th;D
105;["9","9","7","8","7","11"];["3","3","1","2","1","4"];jguitar/Asharp7sharp9b5-Dsharp.png;A#7#9b5/D#;A#7#9b5/D#;A#;7#9b5;7th Sharp 9th Flat 5th;D#
106;["0","2","1","0","1","0"];["0","3","2","0","1","0"];jguitar/Asharp7sharp9b5-E.png;A#7#9b5/E;A#7#9b5/E;A#;7#9b5;7th Sharp 9th Flat 5th;E
107;["0","2","1","0","1","1"];["0","4","3","0","2","1"];jguitar/Asharp7sharp9b5-F.png;A#7#9b5/F;A#7#9b5/F;A#;7#9b5;7th Sharp 9th Flat 5th;F
108;["0","2","1","0","1","2"];["0","4","2","0","1","3"];jguitar/Asharp7sharp9b5-Fsharp.png;A#7#9b5/F#;A#7#9b5/F#;A#;7#9b5;7th Sharp 9th Flat 5th;F#
109;["0","2","1","0","1","3"];["0","3","2","0","1","4"];jguitar/Asharp7sharp9b5-G.png;A#7#9b5/G;A#7#9b5/G;A#;7#9b5;7th Sharp 9th Flat 5th;G
110;["x","2","3","2","5","4"];["0","1","2","1","4","3"];jguitar/Asharp7sharp9b5-Gsharp.png;A#7#9b5/G#;A#7#9b5/G#;A#;7#9b5;7th Sharp 9th Flat 5th;G#
111;["6","6","7","6","5","5"];["2","2","3","2","1","1"];jguitar/Asharp7-A.png;A#7/A;A#7/A;A#;7;7th;A
112;["4","3","3","3","2","x"];["3","2","2","2","1","0"];jguitar/Asharp7-B.png;A#7/B;A#7/B;A#;7;7th;B
113;["4","3","3","3","3","x"];["2","1","1","1","1","0"];jguitar/Asharp7-C.png;A#7/C;A#7/C;A#;7;7th;C
114;["4","3","3","3","4","x"];["3","1","1","1","2","0"];jguitar/Asharp7-Csharp.png;A#7/C#;A#7/C#;A#;7;7th;C#
115;["6","6","7","6","5","x"];["2","2","3","2","1","0"];jguitar/Asharp7-D.png;A#7/D;A#7/D;A#;7;7th;D
116;["6","6","7","6","6","x"];["1","1","2","1","1","0"];jguitar/Asharp7-Dsharp.png;A#7/D#;A#7/D#;A#;7;7th;D#
117;["1","3","1","3","1","0"];["1","4","1","3","1","0"];jguitar/Asharp7-E.png;A#7/E;A#7/E;A#;7;7th;E
118;["1","x","1","0","1","1"];["4","0","3","0","2","1"];jguitar/Asharp7-F.png;A#7/F;A#7/F;A#;7;7th;F
119;["1","3","1","3","1","2"];["1","4","1","3","1","2"];jguitar/Asharp7-Fsharp.png;A#7/F#;A#7/F#;A#;7;7th;F#
120;["1","3","1","3","1","3"];["1","4","1","3","1","2"];jguitar/Asharp7-G.png;A#7/G;A#7/G;A#;7;7th;G
121;["6","6","7","6","5","4"];["3","3","4","3","2","1"];jguitar/Asharp7-Gsharp.png;A#7/G#;A#7/G#;A#;7;7th;G#
122;["0","3","1","0","1","x"];["0","4","2","0","1","0"];jguitar/Asharp7b5.png;A#7b5;A#7b5;A#;7b5;7th Flat 5th;A#
123;["6","5","7","6","5","5"];["3","1","4","2","1","1"];jguitar/Asharp7b5-A.png;A#7b5/A;A#7b5/A;A#;7b5;7th Flat 5th;A
124;["4","3","3","2","2","x"];["3","2","2","1","1","0"];jguitar/Asharp7b5-B.png;A#7b5/B;A#7b5/B;A#;7b5;7th Flat 5th;B
125;["6","x","7","6","7","8"];["1","0","3","1","2","4"];jguitar/Asharp7b5-C.png;A#7b5/C;A#7b5/C;A#;7b5;7th Flat 5th;C
126;["4","3","3","2","4","x"];["4","2","2","1","3","0"];jguitar/Asharp7b5-Csharp.png;A#7b5/C#;A#7b5/C#;A#;7b5;7th Flat 5th;C#
127;["4","3","3","2","5","x"];["3","2","2","1","4","0"];jguitar/Asharp7b5-D.png;A#7b5/D;A#7b5/D;A#;7b5;7th Flat 5th;D
128;["12","11","13","12","11","11"];["3","1","4","2","1","1"];jguitar/Asharp7b5-Dsharp.png;A#7b5/D#;A#7b5/D#;A#;7b5;7th Flat 5th;D#
129;["0","3","1","0","1","0"];["0","4","2","0","1","0"];jguitar/Asharp7b5-E.png;A#7b5/E;A#7b5/E;A#;7b5;7th Flat 5th;E
130;["0","3","1","0","1","1"];["0","4","3","0","2","1"];jguitar/Asharp7b5-F.png;A#7b5/F;A#7b5/F;A#;7b5;7th Flat 5th;F
131;["x","3","1","2","1","2"];["0","4","1","3","1","2"];jguitar/Asharp7b5-Fsharp.png;A#7b5/F#;A#7b5/F#;A#;7b5;7th Flat 5th;F#
132;["0","3","1","0","1","3"];["0","4","2","0","1","3"];jguitar/Asharp7b5-G.png;A#7b5/G;A#7b5/G;A#;7b5;7th Flat 5th;G
133;["x","3","3","2","1","4"];["0","3","3","2","1","4"];jguitar/Asharp7b5-Gsharp.png;A#7b5/G#;A#7b5/G#;A#;7b5;7th Flat 5th;G#
134;["1","0","1","0","1","x"];["3","0","2","0","1","0"];jguitar/Asharp7b9.png;A#7b9;A#7b9;A#;7b9;7th Flat 9th;A#
135;["4","0","3","0","0","x"];["2","0","1","0","0","0"];jguitar/Asharp7b9-A.png;A#7b9/A;A#7b9/A;A#;7b9;7th Flat 9th;A
136;["4","3","3","3","2","x"];["3","2","2","2","1","0"];jguitar/Asharp7b9-B.png;A#7b9/B;A#7b9/B;A#;7b9;7th Flat 9th;B
137;["7","9","7","8","x","8"];["1","4","1","3","0","2"];jguitar/Asharp7b9-C.png;A#7b9/C;A#7b9/C;A#;7b9;7th Flat 9th;C
138;["7","9","7","8","x","9"];["1","4","1","2","0","3"];jguitar/Asharp7b9-Csharp.png;A#7b9/C#;A#7b9/C#;A#;7b9;7th Flat 9th;C#
139;["7","9","7","8","x","10"];["1","3","1","2","0","4"];jguitar/Asharp7b9-D.png;A#7b9/D;A#7b9/D;A#;7b9;7th Flat 9th;D
140;["7","9","7","8","6","x"];["2","4","2","3","1","0"];jguitar/Asharp7b9-Dsharp.png;A#7b9/D#;A#7b9/D#;A#;7b9;7th Flat 9th;D#
141;["1","0","1","0","1","0"];["3","0","2","0","1","0"];jguitar/Asharp7b9-E.png;A#7b9/E;A#7b9/E;A#;7b9;7th Flat 9th;E
142;["1","0","1","0","1","1"];["4","0","3","0","2","1"];jguitar/Asharp7b9-F.png;A#7b9/F;A#7b9/F;A#;7b9;7th Flat 9th;F
143;["1","0","1","0","1","2"];["3","0","2","0","1","4"];jguitar/Asharp7b9-Fsharp.png;A#7b9/F#;A#7b9/F#;A#;7b9;7th Flat 9th;F#
144;["1","0","1","0","1","3"];["3","0","2","0","1","4"];jguitar/Asharp7b9-G.png;A#7b9/G;A#7b9/G;A#;7b9;7th Flat 9th;G
145;["6","6","4","x","5","4"];["3","3","1","0","2","1"];jguitar/Asharp7b9-Gsharp.png;A#7b9/G#;A#7b9/G#;A#;7b9;7th Flat 9th;G#
146;["1","1","1","3","1","x"];["1","1","1","3","1","0"];jguitar/Asharp7sus2.png;A#7sus2;A#7sus2;A#;7sus2;7th Suspended 2nd;A#
147;["2","1","1","4","1","x"];["2","1","1","4","1","0"];jguitar/Asharp7sus2sharp5.png;A#7sus2#5;A#7sus2#5;A#;7sus2#5;7th Suspended 2nd Sharp 5th;A#
148;["6","7","5","6","x","5"];["3","4","1","2","0","1"];jguitar/Asharp7sus2sharp5-A.png;A#7sus2#5/A;A#7sus2#5/A;A#;7sus2#5;7th Suspended 2nd Sharp 5th;A
149;["8","9","x","8","9","7"];["2","4","0","2","3","1"];jguitar/Asharp7sus2sharp5-B.png;A#7sus2#5/B;A#7sus2#5/B;A#;7sus2#5;7th Suspended 2nd Sharp 5th;B
150;["4","x","3","4","3","x"];["4","0","2","3","1","0"];jguitar/Asharp7sus2sharp5-C.png;A#7sus2#5/C;A#7sus2#5/C;A#;7sus2#5;7th Suspended 2nd Sharp 5th;C
151;["8","9","x","8","9","9"];["1","4","0","1","3","2"];jguitar/Asharp7sus2sharp5-Csharp.png;A#7sus2#5/C#;A#7sus2#5/C#;A#;7sus2#5;7th Suspended 2nd Sharp 5th;C#
152;["6","7","5","6","5","x"];["3","4","1","2","1","0"];jguitar/Asharp7sus2sharp5-D.png;A#7sus2#5/D;A#7sus2#5/D;A#;7sus2#5;7th Suspended 2nd Sharp 5th;D
153;["8","x","11","8","11","11"];["1","0","4","1","3","2"];jguitar/Asharp7sus2sharp5-Dsharp.png;A#7sus2#5/D#;A#7sus2#5/D#;A#;7sus2#5;7th Suspended 2nd Sharp 5th;D#
154;["2","1","1","x","1","0"];["2","1","1","0","1","0"];jguitar/Asharp7sus2sharp5-E.png;A#7sus2#5/E;A#7sus2#5/E;A#;7sus2#5;7th Suspended 2nd Sharp 5th;E
155;["4","1","1","4","1","1"];["3","1","1","2","1","1"];jguitar/Asharp7sus2sharp5-F.png;A#7sus2#5/F;A#7sus2#5/F;A#;7sus2#5;7th Suspended 2nd Sharp 5th;F
156;["4","1","1","4","1","2"];["4","1","1","3","1","2"];jguitar/Asharp7sus2sharp5-Fsharp.png;A#7sus2#5/F#;A#7sus2#5/F#;A#;7sus2#5;7th Suspended 2nd Sharp 5th;F#
157;["4","x","3","4","3","3"];["3","0","1","2","1","1"];jguitar/Asharp7sus2sharp5-G.png;A#7sus2#5/G;A#7sus2#5/G;A#;7sus2#5;7th Suspended 2nd Sharp 5th;G
158;["4","x","3","4","3","4"];["4","0","1","3","1","2"];jguitar/Asharp7sus2sharp5-Gsharp.png;A#7sus2#5/G#;A#7sus2#5/G#;A#;7sus2#5;7th Suspended 2nd Sharp 5th;G#
159;["6","6","5","6","x","5"];["4","3","1","2","0","1"];jguitar/Asharp7sus2-A.png;A#7sus2/A;A#7sus2/A;A#;7sus2;7th Suspended 2nd;A
160;["8","9","10","8","8","7"];["2","3","4","2","2","1"];jguitar/Asharp7sus2-B.png;A#7sus2/B;A#7sus2/B;A#;7sus2;7th Suspended 2nd;B
161;["6","6","x","6","8","8"];["1","1","0","1","4","3"];jguitar/Asharp7sus2-C.png;A#7sus2/C;A#7sus2/C;A#;7sus2;7th Suspended 2nd;C
162;["8","9","10","8","8","9"];["1","3","4","1","1","2"];jguitar/Asharp7sus2-Csharp.png;A#7sus2/C#;A#7sus2/C#;A#;7sus2;7th Suspended 2nd;C#
163;["6","6","5","6","5","x"];["4","3","1","2","1","0"];jguitar/Asharp7sus2-D.png;A#7sus2/D;A#7sus2/D;A#;7sus2;7th Suspended 2nd;D
164;["4","1","3","1","x","x"];["4","2","3","1","0","0"];jguitar/Asharp7sus2-Dsharp.png;A#7sus2/D#;A#7sus2/D#;A#;7sus2;7th Suspended 2nd;D#
165;["1","1","1","3","1","0"];["1","1","1","3","1","0"];jguitar/Asharp7sus2-E.png;A#7sus2/E;A#7sus2/E;A#;7sus2;7th Suspended 2nd;E
166;["1","1","1","3","1","1"];["1","1","1","3","1","1"];jguitar/Asharp7sus2-F.png;A#7sus2/F;A#7sus2/F;A#;7sus2;7th Suspended 2nd;F
167;["1","1","1","3","1","2"];["1","1","1","3","1","2"];jguitar/Asharp7sus2-Fsharp.png;A#7sus2/F#;A#7sus2/F#;A#;7sus2;7th Suspended 2nd;F#
168;["1","1","1","3","1","3"];["1","1","1","4","1","3"];jguitar/Asharp7sus2-G.png;A#7sus2/G;A#7sus2/G;A#;7sus2;7th Suspended 2nd;G
169;["1","1","1","3","1","4"];["1","1","1","3","1","4"];jguitar/Asharp7sus2-Gsharp.png;A#7sus2/G#;A#7sus2/G#;A#;7sus2;7th Suspended 2nd;G#
170;["1","1","1","1","1","x"];["1","1","1","1","1","0"];jguitar/Asharp7sus2sus4.png;A#7sus2sus4;A#7sus2sus4;A#;7sus2sus4;7th Suspended 2nd Suspended 4th;A#
171;["4","4","3","3","3","5"];["2","2","1","1","1","3"];jguitar/Asharp7sus2sus4-A.png;A#7sus2sus4/A;A#7sus2sus4/A;A#;7sus2sus4;7th Suspended 2nd Suspended 4th;A
172;["4","1","3","1","2","x"];["4","1","3","1","2","0"];jguitar/Asharp7sus2sus4-B.png;A#7sus2sus4/B;A#7sus2sus4/B;A#;7sus2sus4;7th Suspended 2nd Suspended 4th;B
173;["4","4","3","3","3","x"];["2","2","1","1","1","0"];jguitar/Asharp7sus2sus4-C.png;A#7sus2sus4/C;A#7sus2sus4/C;A#;7sus2sus4;7th Suspended 2nd Suspended 4th;C
